ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step reasoning_alignment external_hallucination redundancy      common_sense_error missing_step    semantic_coverage_step semantic_coverage_chain discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.767689261585474 0.7910543885082006 0.9605234116315842 0.9074648764924468 0.06251044977794995 0.06292861700057983 0.9064347147941589 0.9669424658529406 0.8376769721508026 0.9830124738878059 0.8794801831245422 0.9704811461269855 0.9638185054063797 0.011848151683807373 0.864030733704567 0.0019139185592950544 0.020851425655463177 9.481154030732065e-05 0.8198796361684799 0.7036805748939514
1        0.7332397749026617 0.7805952380100887 0.9503753185272217 0.9041200329206491 0.033687424479108885 0.033633336424827576 0.9152945776780447 0.9780044568474136 0.8575501143932343 0.9693283669059296 0.8575501143932343 0.9886198143164316 0.949075847864151 0.19932395219802856 0.05238074064254761 0.002528179158385279 0.04474235664673784 0.0001260051264923725 0.9276836117108663 0.9091856479644775
2        0.7748865094035864 0.7786301048472524 0.9414366483688354 0.9116475655600942 0.03510849463178756 0.032335102558135986 0.9199943020939827 0.9758058999296675 0.8824003040790558 0.9742770410708417 0.8811773359775543 0.9945229921489954 0.9821177124977112 0.3609012961387634 0.0016121864318847656 0.003045754618624634 0.06851790042338116 0.00010752236766193138 0.8802262246608734 0.5912966132164001
3        0.7928703824679056 0.8316638022661209 0.9508442878723145 0.9039224761983623 0.05739095211029055 0.05082175135612488 0.9541386862595876 0.989767991529348 0.9142608046531677 0.9849095541898336 0.9142608046531677 0.9701633354028066 0.9733631461858749 0.009025394916534424 0.007967352867126465 0.00021155860812852812 0.010221967578912697 1.7900904885576966e-05 0.8511838912963867 0.697323739528656
4        0.7978930746515592 0.8286216574410598 0.967169925570488 0.9175542265708957 0.06052065321377342 0.05936335027217865 0.8605807920296987 0.9220071461093744 0.8103728592395782 0.9355475796573467 0.8103728592395782 0.9868068074186643 0.9696317166090012 0.033533334732055664 0.24471688270568848 0.0009078827686171603 0.035673290245842704 3.8172283103802973e-05 0.8615764180819193 0.6697347164154053
5        0.8074140747388204 0.8060128229359786 0.963600680232048 0.9059826424762384 0.050389806032180795 0.0716545581817627 0.888116697470347 0.9682825957606891 0.8259546756744385 0.981299166697224 0.8719928562641144 0.9798347229758899 0.9617183804512024 0.003243863582611084 0.0005317330360412598 0.00166232304799307 0.07314823525940271 5.551900243170729e-05 0.9277260402838389 0.7254407405853271
6        0.832723967730999 0.8698984496295452 0.9686957448720932 0.9110786145454959 0.029382167117936286 0.031492918729782104 0.9614323377609253 0.9859702549833358 0.8653422892093658 0.9935914781791322 0.9641264081001282 0.9841438662260771 0.9963613450527191 0.03694111108779907 0.0018799901008605957 0.0004576118548105421 0.058201221079912525 2.633989193493696e-05 0.8906691908836365 0.6139318943023682
7        0.7491595391184092 0.760995008982718 0.9273334294557571 0.9050526755175206 0.049787314801380544 0.03719611465930939 0.9428756684064865 0.9831825624599215 0.9133403897285461 0.9439963181888302 0.7796711921691895 0.9961795981973409 0.9605274349451065 0.01542586088180542 0.005815684795379639 0.0007977341121307892 0.041581508168421065 3.229210606846289e-05 0.8674424737691879 0.7755318284034729
8        0.8040771867547717 0.8169686352568013 0.945073202252388 0.9146685668617297 0.01378753887755535 0.02251306176185608 0.8878224406923566 0.9182346374535717 0.7886954843997955 0.9294814327471852 0.7886954843997955 0.992101281083056 0.9615311026573181 0.007374823093414307 0.0024924278259277344 0.0016741933467633626 0.10205956479872388 4.730526264941903e-05 0.9446662664413452 0.8399966359138489
9        0.8166582778096199 0.8353433109819889 0.9658820629119873 0.9069888024466244 0.028620961411245927 0.04611705243587494 0.913847279548645 0.9447661132457421 0.855894923210144 0.9504958600835298 0.855894923210144 0.9908949901660283 0.9892120659351349 0.5057596266269684 0.0048860907554626465 0.0036042258656221672 0.08772888217142776 0.00023852582278238813 0.9287441611289978 0.8048332333564758
