ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step reasoning_alignment external_hallucination redundancy      common_sense_error missing_step    semantic_coverage_step semantic_coverage_chain discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.8479225337505341 0.8543101213872433 0.9376167356967926 0.9420019444823265 0.04475464125474293 0.058774203062057495 0.9317374899983406 0.9834132544107446 0.8844825923442841 0.9916573927560215 0.8999300599098206 0.9951401253541311 0.9633857756853104 0.011848151683807373 0.864030733704567 0.0019139185592950544 0.020851425655463177 9.481154030732065e-05 0.8198796361684799 0.7036805748939514
1        0.8795698881149292 0.8927086144685745 0.9365762025117874 0.9380784390701188 0.026908063119457593 0.029927581548690796 0.9440737167994181 0.9909077905626464 0.8926650881767273 0.9716511673944419 0.8256261646747589 0.969492127497991 0.948764830827713 0.19932395219802856 0.05238074064254761 0.002528179158385279 0.04474235664673784 0.0001260051264923725 0.9276836117108663 0.9091856479644775
2        0.8456353098154068 0.8498010225594044 0.9358823597431183 0.9390785050218122 0.027712176905738017 0.08549830317497253 0.8958053663372993 0.9673370844764513 0.8244070410728455 0.9594488735699809 0.8244070410728455 0.987534174323082 0.9855010509490967 0.3609012961387634 0.0016121864318847656 0.003045754618624634 0.06851790042338116 0.00010752236766193138 0.8802262246608734 0.5912966132164001
3        0.8712296187877655 0.8825294921795528 0.964911937713623 0.9332817693551382 0.03687259554862976 0.08731827139854431 0.9827995896339417 0.9977225298926271 0.9643768668174744 0.9978051102718339 0.9643768668174744 0.9929685195287069 0.9922601580619812 0.009025394916534424 0.007967352867126465 0.00021155860812852812 0.010221967578912697 1.7900904885576966e-05 0.8511838912963867 0.697323739528656
4        0.879605362812678 0.8940829982360203 0.9684905260801315 0.9468937247991562 0.042326728502909305 0.08716258406639099 0.9296125968297323 0.9851800659107761 0.9093854129314423 0.9875248873152982 0.9093854129314423 0.9864140748977661 0.9768901765346527 0.033533334732055664 0.24471688270568848 0.0009078827686171603 0.035673290245842704 3.8172283103802973e-05 0.8615764180819193 0.6697347164154053
5        0.8599538107713064 0.8584972533086936 0.9614347517490387 0.9380552348658795 0.03692879199981691 0.03344452381134033 0.9189516107241312 0.9670172713443108 0.8625690340995789 0.9778106289297313 0.8679457902908325 0.9862556060155233 0.984389990568161 0.003243863582611084 0.0005317330360412598 0.00166232304799307 0.07314823525940271 5.551900243170729e-05 0.9277260402838389 0.7254407405853271
6        0.8819741606712341 0.9044506549835205 0.9786770194768906 0.9442597843231039 0.026830081144968654 0.03625477850437164 0.9777535140514374 0.9957122075049094 0.9529188871383667 0.996830358947939 0.9668008387088776 0.9985517337918282 0.9928966462612152 0.03694111108779907 0.0018799901008605957 0.0004576118548105421 0.058201221079912525 2.633989193493696e-05 0.8906691908836365 0.6139318943023682
7        0.8712156042456627 0.8675383776426315 0.9729313105344772 0.9311417892415036 0.031555926358258324 0.03186595439910889 0.956472635269165 0.9899251733836536 0.9223136901855469 0.98886836123188 0.8703905344009399 0.9752433821558952 0.9721516221761703 0.01542586088180542 0.005815684795379639 0.0007977341121307892 0.041581508168421065 3.229210606846289e-05 0.8674424737691879 0.7755318284034729
8        0.8885269505637032 0.8997949420341423 0.9526459723711014 0.9394800035903851 0.012077457904815625 0.04595640301704407 0.9213924578257969 0.9814418520282402 0.8486844897270203 0.9732613957869347 0.8685996532440186 0.9794511826975005 0.9782542139291763 0.007374823093414307 0.0024924278259277344 0.0016741933467633626 0.10205956479872388 4.730526264941903e-05 0.9446662664413452 0.8399966359138489
9        0.8647783279418946 0.882284739613533 0.9508778601884842 0.9458918928081154 0.024206776309896427 0.047093331813812256 0.9381639897823334 0.9871865470745096 0.8843426406383514 0.9400602746729234 0.8140885829925537 0.9678707192341486 0.9705158025026321 0.5057596266269684 0.0048860907554626465 0.0036042258656221672 0.08772888217142776 0.00023852582278238813 0.9287441611289978 0.8048332333564758
10       0.8782934486865998 0.899688861767451 0.972986102104187 0.9378969535745424 0.03246580419086276 0.04448360204696655 0.9609667420387268 0.9830792438570874 0.8980408310890198 0.9874097736136669 0.8991277813911438 0.9864387651284536 0.9836061894893646 0.003683745861053467 0.05667310953140259 0.0005087101946205288 0.049719786311802815 1.542994054771194e-05 0.9165600299835205 0.7254013419151306
